"Item","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025"
"Beef",54.1,54.4,55.3,55.2,55.6,56.1,56.3,56.6,56.7,56.7,56.8,56.8
"Veal",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Pork",46.4,49.5,49.7,50.1,50.5,50.8,50.9,51,51,51.1,51.1,51.1
"Lamb_mutton",0.9,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8
"Total_red_meat",101.7,105.2,106.1,106.5,107.2,108,108.3,108.6,108.8,108.9,108.9,108.9
"Broilers",83.3,89.1,89.6,89.5,89.8,90.2,90.7,91.1,91.3,91.4,91.5,91.5
"Other_chicken",1.3,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5
"Turkeys",15.7,15.8,16.2,16.7,17,17.1,17.2,17.3,17.3,17.3,17.3,17.3
"Total_poultry",100.3,106.1,107.1,107.5,108.1,108.7,109.3,109.7,110,110.2,110.2,110.3
"Red_meat_poultry",202.1,211.2,213.2,214,215.3,216.7,217.6,218.4,218.8,219,219.1,219.2
